Ball Squeeze Stretch;Gently squeeze a ball or other malleable object for 10 seconds, release for 10, and repeat.;exercise_ballsqueezehandstretch
Body Crunches;Lay on the ground or stand on one foot. Put your hand on the back of your head, and touch the elbow of that hand to the opposite knee. Repeat on the other side.;exercise_bodycrunches_blueshirtman
Break Dancer; Get on hands and knees, then life your knees a few inches. Lift your left hand and right foot, then rotate your hips left until your right heel touches the ground. Repeat on opposite side.;exercise_breakdancer_blueshirtwoman/exercise_breakdancer_whiteshirtwoman
Butterfly Pose;Get in a seated position and bring the soles of your feet together. Place your elbows against your thighs and lower your torso forward until you feel a stretch. Hold for 10 seconds, release, and repeat.;exercise_butterflypose_blueshirtwoman/exercise_butterflypose_whiteshirtwoman
Camel Pose;Sit on your knees, with the tops your feet on the floor. Reach back for your heels and lift your chest up.;exercise_camelpose_blueshirtman/exercise_camelpose_blueshirtwoman/exercise_camelpose_whiteshirtman/exercise_camelpose_whiteshirtwoman
Chair Spinal Twist;Sit up straight. Put your right elbow over the back of the chair and place your right hand on the back. Grab the back of the chair with your left hand. Push with your right hand until you feel a stretch and hold for 10 seconds. Release and repeat on the opposite side.;exercise_chairspinaltwist_blueshirtman/exercise_chairspinaltwist_blueshirtwoman
Child Pose;Kneel with the tops of your feet on the group. Lean forward, keeping your buttocks on your heels, and rest your forehead on the floor. Straighten your arms above your hand with your palms on the floor. Breath deeply for at least eight breaths.;exercise_childpose_blueshirtwoman/exercise_childpose_blueshirtman/exercise_childpose_whiteshirtman/exercise_childpose_whiteshirtwoman
Cobra Pose;Lay face down with your toes pointed back. Place your palms underneath your shoulders. Inhale and lift your chest up, keeping your legs on the ground. Face upwards.;exercise_cobrapose_blueshirtman/exercise_cobrapose_blueshirtwoman
Ear To Shoulder Stretch;Sit with your back straight. Bring your hands together behind your back, and move them so they are up against your right hip. Move your ear towards your right shoulder or until you feel a stretch. Repeat with your hands on the opposite side and the opposite ear.;exercise_eartoshoulder_blueshirtwoman/exercise_eartoshoulder_whiteshirtwoman
Finger Clench Stretch;Extend your four fingers together. Place your fingertips as far up on your fingers as you can. Alternate between hands.;exercise_fingerclenchstretch
Finger Spread Stretch;Extend your fingers. Move your fingers as far apart as possible and hold them for 10 seconds. Alternate between hands.;exercise_fingerspreadstretch
Kneeling Hip Flexor;Kneel, then bring your right foot forward, so there is a 90 degree angle at your hip and knee. Place your hands on your hips and bring your hips forward until you feel the stretch. Hold for 10 seconds and repeat on the other side.;exercise_kneelinghipflexor_blueshirtman/exercise_kneelinghipflexor_whiteshirtman
